stage,problem,xa1,pa1,xa2,pa2,xa3,pa3,na,eva,xb1,pb1,xb2,pb2,xb3,pb3,nb,evb,mechanism
1,1,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,2,0,0.8,105,0.2,0,0,2,21,0,0.88,175,0.12,0,0,2,21,Triangle
1,3,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,4,105,1,0,0,0,0,1,105,0,0.08,105,0.8,175,0.12,3,105,Triangle
1,5,0,0.2,105,0.8,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,6,105,0.2,175,0.8,0,0,2,161,0,0.08,175,0.92,0,0,2,161,Triangle
1,7,105,1,0,0,0,0,1,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,8,0,0.08,105,0.8,175,0.12,3,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,9,0,0.08,105,0.8,175,0.12,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,10,0,0.2,105,0.5,175,0.3,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,11,0,0.52,175,0.48,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,12,0,0.08,105,0.8,175,0.12,3,105,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,13,0,0.28,105,0.6,175,0.12,3,84,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,14,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,15,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,16,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,17,15,0.8,100,0.2,0,0,2,32,15,0.9,185,0.1,0,0,2,32,Triangle
1,18,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,19,100,1,0,0,0,0,1,100,15,0.1,100,0.8,185,0.1,3,100,Triangle
1,20,15,0.2,100,0.8,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,21,100,0.2,185,0.8,0,0,2,168,15,0.1,185,0.9,0,0,2,168,Triangle
1,22,100,1,0,0,0,0,1,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,23,15,0.1,100,0.8,185,0.1,3,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,24,15,0.1,100,0.8,185,0.1,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,25,15,0.2,100,0.6,185,0.2,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,26,15,0.6,185,0.4,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,27,15,0.1,100,0.8,185,0.1,3,100,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,28,15,0.3,100,0.6,185,0.1,3,83,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,29,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,30,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,31,175,0.45,220,0.55,0,0,2,200,115,0.35,245,0.65,0,0,2,199,Random
1,32,125,0.5,235,0.15,255,0.35,3,187,130,0.45,180,0.35,325,0.2,3,186,Random
1,33,65,1,0,0,0,0,1,65,60,1,0,0,0,0,1,60,Random
1,34,175,0.3,180,0.7,0,0,2,178,145,0.4,195,0.05,210,0.55,3,183,Random
1,35,150,0.6,255,0.4,0,0,2,192,10,0.35,265,0.4,390,0.25,3,207,Random
1,36,145,1,0,0,0,0,1,145,0,0.05,170,0.95,0,0,2,161,Random
1,37,90,0.85,430,0.15,0,0,2,141,30,0.2,155,0.3,210,0.5,3,158,Random
1,38,120,0.4,230,0.45,250,0.15,3,189,80,0.25,220,0.65,350,0.1,3,198,Random
1,39,145,0.55,250,0.45,0,0,2,192,185,0.4,195,0.6,0,0,2,191,Random
1,40,115,1,0,0,0,0,1,115,45,0.5,200,0.5,0,0,2,123,Random
1,41,140,1,0,0,0,0,1,140,130,1,0,0,0,0,1,130,Random
1,42,50,0.4,60,0.35,90,0.25,3,63,25,0.6,35,0.2,215,0.2,3,65,Random
