stage,problem,xa1,pa1,xa2,pa2,xa3,pa3,na,eva,xb1,pb1,xb2,pb2,xb3,pb3,nb,evb,mechanism
1,1,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,2,0,0.8,105,0.2,0,0,2,21,0,0.88,175,0.12,0,0,2,21,Triangle
1,3,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,4,105,1,0,0,0,0,1,105,0,0.08,105,0.8,175,0.12,3,105,Triangle
1,5,0,0.2,105,0.8,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,6,105,0.2,175,0.8,0,0,2,161,0,0.08,175,0.92,0,0,2,161,Triangle
1,7,105,1,0,0,0,0,1,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,8,0,0.08,105,0.8,175,0.12,3,105,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,9,0,0.08,105,0.8,175,0.12,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,10,0,0.2,105,0.5,175,0.3,3,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,11,0,0.52,175,0.48,0,0,2,84,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,12,0,0.08,105,0.8,175,0.12,3,105,0,0.28,105,0.6,175,0.12,3,84,Triangle
1,13,0,0.28,105,0.6,175,0.12,3,84,0,0.2,105,0.5,175,0.3,3,105,Triangle
1,14,105,1,0,0,0,0,1,105,0,0.4,175,0.6,0,0,2,105,Triangle
1,15,0,0.2,105,0.8,0,0,2,84,0,0.52,175,0.48,0,0,2,84,Triangle
1,16,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,17,15,0.8,100,0.2,0,0,2,32,15,0.9,185,0.1,0,0,2,32,Triangle
1,18,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,19,100,1,0,0,0,0,1,100,15,0.1,100,0.8,185,0.1,3,100,Triangle
1,20,15,0.2,100,0.8,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,21,100,0.2,185,0.8,0,0,2,168,15,0.1,185,0.9,0,0,2,168,Triangle
1,22,100,1,0,0,0,0,1,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,23,15,0.1,100,0.8,185,0.1,3,100,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,24,15,0.1,100,0.8,185,0.1,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,25,15,0.2,100,0.6,185,0.2,3,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,26,15,0.6,185,0.4,0,0,2,83,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,27,15,0.1,100,0.8,185,0.1,3,100,15,0.3,100,0.6,185,0.1,3,83,Triangle
1,28,15,0.3,100,0.6,185,0.1,3,83,15,0.2,100,0.6,185,0.2,3,100,Triangle
1,29,100,1,0,0,0,0,1,100,15,0.5,185,0.5,0,0,2,100,Triangle
1,30,15,0.2,100,0.8,0,0,2,83,15,0.6,185,0.4,0,0,2,83,Triangle
1,31,95,0.2,140,0.8,0,0,2,131,115,0.1,150,0.9,0,0,2,146,Random
1,32,65,1,0,0,0,0,1,65,60,1,0,0,0,0,1,60,Random
1,33,40,0.8,225,0.2,0,0,2,77,85,1,0,0,0,0,1,85,Random
1,34,125,0.15,140,0.35,150,0.5,3,143,95,0.25,120,0.4,190,0.35,3,138,Random
1,35,180,1,0,0,0,0,1,180,185,1,0,0,0,0,1,185,Random
1,36,70,1,0,0,0,0,1,70,50,1,0,0,0,0,1,50,Random
1,37,120,0.7,255,0.3,0,0,2,161,165,1,0,0,0,0,1,165,Random
1,38,120,0.4,230,0.45,250,0.15,3,189,80,0.25,220,0.65,350,0.1,3,198,Random
1,39,175,0.45,220,0.55,0,0,2,200,115,0.35,245,0.65,0,0,2,199,Random
1,40,90,1,0,0,0,0,1,90,95,0.9,130,0.1,0,0,2,98,Random
1,41,0,0.1,140,0.9,0,0,2,126,85,0.5,150,0.35,210,0.15,3,127,Random
1,42,70,0.05,120,0.7,175,0.25,3,131,120,0.75,125,0.25,0,0,2,121,Random
