participant_code,problem_id,decision
qozqfbki,29,0.0
qozqfbki,23,1.0
qozqfbki,15,0.0
qozqfbki,49,1.0
qozqfbki,52,0.0
qozqfbki,24,0.0
qozqfbki,54,1.0
qozqfbki,22,0.0
qozqfbki,20,1.0
qozqfbki,2,0.0
qozqfbki,39,1.0
qozqfbki,33,0.0
qozqfbki,56,1.0
qozqfbki,13,0.0
qozqfbki,43,0.0
qozqfbki,53,0.0
qozqfbki,9,0.0
qozqfbki,10,1.0
qozqfbki,26,0.0
qozqfbki,6,0.0
qozqfbki,38,0.0
qozqfbki,19,0.0
qozqfbki,14,0.0
qozqfbki,25,1.0
qozqfbki,3,1.0
qozqfbki,17,0.0
qozqfbki,40,0.0
qozqfbki,41,0.0
qozqfbki,46,1.0
qozqfbki,0,0.0
qozqfbki,16,0.0
qozqfbki,34,1.0
qozqfbki,1,0.0
qozqfbki,18,1.0
qozqfbki,12,1.0
qozqfbki,30,1.0
qozqfbki,44,0.0
qozqfbki,42,1.0
qozqfbki,57,1.0
qozqfbki,47,1.0
qozqfbki,4,0.0
qozqfbki,51,0.0
qozqfbki,37,1.0
qozqfbki,27,1.0
qozqfbki,7,0.0
qozqfbki,50,1.0
qozqfbki,55,0.0
qozqfbki,58,0.0
qozqfbki,35,0.0
qozqfbki,5,1.0
qozqfbki,45,1.0
qozqfbki,36,1.0
qozqfbki,11,0.0
qozqfbki,32,1.0
qozqfbki,31,0.0
qozqfbki,48,1.0
qozqfbki,8,0.0
qozqfbki,28,1.0
qozqfbki,21,1.0
qozqfbki,59,0.0
qozqfbki,60,0.0
qozqfbki,91,1.0
qozqfbki,98,0.0
qozqfbki,80,0.0
qozqfbki,83,0.0
qozqfbki,115,1.0
qozqfbki,97,1.0
qozqfbki,68,0.0
qozqfbki,82,0.0
qozqfbki,63,1.0
qozqfbki,114,0.0
qozqfbki,100,1.0
qozqfbki,118,0.0
qozqfbki,69,0.0
qozqfbki,90,0.0
qozqfbki,106,0.0
qozqfbki,78,1.0
qozqfbki,66,1.0
qozqfbki,73,0.0
qozqfbki,104,1.0
qozqfbki,116,1.0
qozqfbki,113,0.0
59qfcgly,29,1.0
59qfcgly,47,0.0
fvivvzyi,102,0.0
59qfcgly,56,1.0
59qfcgly,53,0.0
fvivvzyi,67,0.0
j57pl3m5,12,0.0
j57pl3m5,31,0.0
j57pl3m5,5,0.0
j57pl3m5,58,1.0
j57pl3m5,10,0.0
j57pl3m5,17,1.0
j57pl3m5,29,0.0
j57pl3m5,0,1.0
j57pl3m5,23,0.0
j57pl3m5,6,0.0
j57pl3m5,1,0.0
j57pl3m5,44,1.0
j57pl3m5,50,0.0
rst8w445,20,0.0
9a20zyov,16,1.0
9a20zyov,55,0.0
9a20zyov,27,1.0
9a20zyov,21,1.0
9a20zyov,28,0.0
9a20zyov,42,0.0
9a20zyov,52,0.0
9a20zyov,19,1.0
9a20zyov,57,1.0
9a20zyov,49,1.0
9a20zyov,29,0.0
9a20zyov,9,1.0
9a20zyov,35,0.0
9a20zyov,7,0.0
9a20zyov,53,1.0
